715,762,"42.9778","-81.2467","RANGE_INTERPOLATED","POINT (-81.2467 42.9778)"
1033,1094,"59.3014","24.6679","RANGE_INTERPOLATED","POINT (24.6679 59.3014)"
716,763,"48.3917","-122.495","ROOFTOP","POINT (-122.495 48.3917)"
1034,1095,"29.4241","-98.4936","APPROXIMATE","POINT (-98.4936 29.4241)"
717,764,"40.4194","-86.89","ROOFTOP","POINT (-86.89 40.4194)"
1035,1096,"52.7069","-2.787","RANGE_INTERPOLATED","POINT (-2.787 52.7069)"
718,765,"38.2724","-122.662","ROOFTOP","POINT (-122.662 38.2724)"
719,766,"43.1706","-89.9324","RANGE_INTERPOLATED","POINT (-89.9324 43.1706)"
1036,1097,"40.7626","-111.895","RANGE_INTERPOLATED","POINT (-111.895 40.7626)"
720,767,"44.2829","-73.9813","ROOFTOP","POINT (-73.9813 44.2829)"
1037,1098,"21.3069","-157.858","APPROXIMATE","POINT (-157.858 21.3069)"
721,768,"46.7611","-92.1319","RANGE_INTERPOLATED","POINT (-92.1319 46.7611)"
1038,1099,"53.8834","-1.2625","GEOMETRIC_CENTER","POINT (-1.2625 53.8834)"
722,769,"43.0547","-87.9053","ROOFTOP","POINT (-87.9053 43.0547)"
1039,1100,"32.7922","-117.099","ROOFTOP","POINT (-117.099 32.7922)"
723,771,"40.0438","-76.2984","ROOFTOP","POINT (-76.2984 40.0438)"
1040,1101,"33.1345","-117.191","ROOFTOP","POINT (-117.191 33.1345)"
724,772,"54.8229","-1.7457","APPROXIMATE","POINT (-1.7457 54.8229)"
1041,1102,"14.5833","120.967","APPROXIMATE","POINT (120.967 14.5833)"
725,773,"48.014","-115.011","RANGE_INTERPOLATED","POINT (-115.011 48.014)"
1042,1103,"44.2929","-90.8511","RANGE_INTERPOLATED","POINT (-90.8511 44.2929)"
726,774,"40.3212","-79.3795","APPROXIMATE","POINT (-79.3795 40.3212)"
1043,1104,"39.7557","-104.993","RANGE_INTERPOLATED","POINT (-104.993 39.7557)"
727,775,"48.3003","-116.538","ROOFTOP","POINT (-116.538 48.3003)"
1044,1105,"44.8007","-106.956","RANGE_INTERPOLATED","POINT (-106.956 44.8007)"
728,776,"30.3764","-89.4497","ROOFTOP","POINT (-89.4497 30.3764)"
1045,1106,"34.4166","-119.696","ROOFTOP","POINT (-119.696 34.4166)"
729,777,"45.5181","-73.5642","RANGE_INTERPOLATED","POINT (-73.5642 45.5181)"
1046,1107,"36.9741","-122.031","APPROXIMATE","POINT (-122.031 36.9741)"
730,778,"33.4577","-117.589","ROOFTOP","POINT (-117.589 33.4577)"
731,779,"40.1587","-105.113","RANGE_INTERPOLATED","POINT (-105.113 40.1587)"
1047,1108,"35.5966","-106.052","ROOFTOP","POINT (-106.052 35.5966)"
732,780,"40.3256","-75.9283","RANGE_INTERPOLATED","POINT (-75.9283 40.3256)"
1048,1109,"38.4405","-122.714","APPROXIMATE","POINT (-122.714 38.4405)"
733,781,"44.5534","-88.0977","ROOFTOP","POINT (-88.0977 44.5534)"
1049,1111,"52.5435","-2.1156","APPROXIMATE","POINT (-2.1156 52.5435)"
734,782,"33.4484","-112.074","APPROXIMATE","POINT (-112.074 33.4484)"
1050,1112,"45.4207","-122.671","APPROXIMATE","POINT (-122.671 45.4207)"
735,783,"46.5977","-112.037","ROOFTOP","POINT (-112.037 46.5977)"
1052,1113,"-34.1855","150.607","APPROXIMATE","POINT (150.607 -34.1855)"
736,784,"33.7187","-78.8831","RANGE_INTERPOLATED","POINT (-78.8831 33.7187)"
1053,1114,"50.0224","10.83","ROOFTOP","POINT (10.83 50.0224)"
737,785,"50.5208","8.8166","APPROXIMATE","POINT (8.8166 50.5208)"
1054,1115,"47.9904","13.9238","ROOFTOP","POINT (13.9238 47.9904)"
738,786,"50.9649","3.422","RANGE_INTERPOLATED","POINT (3.422 50.9649)"
1055,1116,"47.4097","9.7514","ROOFTOP","POINT (9.7514 47.4097)"
739,787,"45.0565","-92.8222","APPROXIMATE","POINT (-92.8222 45.0565)"
740,788,"48.4358","-123.396","RANGE_INTERPOLATED","POINT (-123.396 48.4358)"
741,789,"45.7786","-111.179","APPROXIMATE","POINT (-111.179 45.7786)"
1056,1118,"32.803","-96.7699","APPROXIMATE","POINT (-96.7699 32.803)"
742,790,"-39.6275","176.854","ROOFTOP","POINT (176.854 -39.6275)"
1057,1119,"37.9669","-121.783","RANGE_INTERPOLATED","POINT (-121.783 37.9669)"
743,791,"38.7548","-9.1883","APPROXIMATE","POINT (-9.1883 38.7548)"
1058,1120,"48.004","9.6584","ROOFTOP","POINT (9.6584 48.004)"
744,792,"41.2557","-75.8583","RANGE_INTERPOLATED","POINT (-75.8583 41.2557)"
1059,1121,"45.1279","-76.13","RANGE_INTERPOLATED","POINT (-76.13 45.1279)"
745,793,"-33.8687","151.217","APPROXIMATE","POINT (151.217 -33.8687)"
1060,1122,"40.8918","-76.7975","APPROXIMATE","POINT (-76.7975 40.8918)"
746,794,"39.1456","-84.4741","ROOFTOP","POINT (-84.4741 39.1456)"
1061,1123,"55.9465","-3.2485","RANGE_INTERPOLATED","POINT (-3.2485 55.9465)"
747,795,"39.1836","-96.5717","APPROXIMATE","POINT (-96.5717 39.1836)"
1062,1124,"47.9975","-122.214","RANGE_INTERPOLATED","POINT (-122.214 47.9975)"
748,796,"-32.0597","115.745","ROOFTOP","POINT (115.745 -32.0597)"
1063,1125,"44.7974","-68.77","RANGE_INTERPOLATED","POINT (-68.77 44.7974)"
749,797,"30.2541","-97.7055","ROOFTOP","POINT (-97.7055 30.2541)"
750,798,"45.9172","-89.2443","APPROXIMATE","POINT (-89.2443 45.9172)"
1064,1126,"36.9676","-122.008","ROOFTOP","POINT (-122.008 36.9676)"
751,799,"49.6206","14.3837","APPROXIMATE","POINT (14.3837 49.6206)"
1065,1127,"35.6631","-105.966","RANGE_INTERPOLATED","POINT (-105.966 35.6631)"
752,800,"44.8516","-90.3165","APPROXIMATE","POINT (-90.3165 44.8516)"
1066,1128,"40.801","-76.8614","ROOFTOP","POINT (-76.8614 40.801)"
753,801,"43.5882","-72.6563","APPROXIMATE","POINT (-72.6563 43.5882)"
1067,1129,"36.7582","-119.802","ROOFTOP","POINT (-119.802 36.7582)"
754,802,"40.7843","-74.78","RANGE_INTERPOLATED","POINT (-74.78 40.7843)"
1068,1130,"49.1487","-122.912","APPROXIMATE","POINT (-122.912 49.1487)"
755,803,"40.8032","-124.165","ROOFTOP","POINT (-124.165 40.8032)"
